,start_location_lat,start_location_long,created_date,period,time_of_day
8903,30.281184,-97.764613,2016-07-04 03:18:17,6,0 days 03:18:17.000000000
8904,30.28107,-97.764685,2016-07-04 03:18:48,6,0 days 03:18:48.000000000
8905,30.319017,-97.703592,2016-07-04 03:20:01,6,0 days 03:20:01.000000000
8906,30.28107,-97.764685,2016-07-04 03:20:19,6,0 days 03:20:19.000000000
8907,30.283766,-97.721377,2016-07-04 03:21:06,6,0 days 03:21:06.000000000
8908,30.3182,-97.704099,2016-07-04 03:21:21,6,0 days 03:21:21.000000000
8909,30.303883,-97.684569,2016-07-04 03:22:18,6,0 days 03:22:18.000000000
8910,30.300246,-97.743287,2016-07-04 03:22:30,6,0 days 03:22:30.000000000
8911,30.324156,-97.705169,2016-07-04 03:22:31,6,0 days 03:22:31.000000000
8912,30.239099,-97.767795,2016-07-04 03:22:32,6,0 days 03:22:32.000000000
8913,30.303883,-97.684569,2016-07-04 03:22:39,6,0 days 03:22:39.000000000
8914,30.300246,-97.743287,2016-07-04 03:23:17,6,0 days 03:23:17.000000000
8915,30.239099,-97.767795,2016-07-04 03:23:20,6,0 days 03:23:20.000000000
8916,30.329151,-97.739603,2016-07-04 03:23:59,6,0 days 03:23:59.000000000
8917,30.238473,-97.767568,2016-07-04 03:24:19,6,0 days 03:24:19.000000000
8918,30.281219,-97.764606,2016-07-04 03:24:31,6,0 days 03:24:31.000000000
8919,30.323828,-97.704912,2016-07-04 03:24:45,6,0 days 03:24:45.000000000
8920,30.239099,-97.767795,2016-07-04 03:25:05,6,0 days 03:25:05.000000000
8921,30.329151,-97.739603,2016-07-04 03:25:54,6,0 days 03:25:54.000000000
8922,30.32329,-97.704873,2016-07-04 03:25:59,6,0 days 03:25:59.000000000
8924,30.399169,-97.749774,2016-07-04 03:26:45,6,0 days 03:26:45.000000000
8925,30.261527,-97.719638,2016-07-04 03:26:54,6,0 days 03:26:54.000000000
8926,30.253565,-97.763487,2016-07-04 03:27:16,6,0 days 03:27:16.000000000
8927,30.341315,-97.738287,2016-07-04 03:27:41,6,0 days 03:27:41.000000000
8928,30.341315,-97.738287,2016-07-04 03:28:07,6,0 days 03:28:07.000000000
8929,30.292421,-97.722757,2016-07-04 03:28:19,6,0 days 03:28:19.000000000
8930,30.341315,-97.738287,2016-07-04 03:28:38,6,0 days 03:28:38.000000000
8931,30.341315,-97.738287,2016-07-04 03:28:56,6,0 days 03:28:56.000000000
8932,30.320252,-97.705978,2016-07-04 03:29:04,6,0 days 03:29:04.000000000
8933,30.341315,-97.738287,2016-07-04 03:29:14,6,0 days 03:29:14.000000000
8934,30.341315,-97.738287,2016-07-04 03:29:18,6,0 days 03:29:18.000000000
8935,30.341315,-97.738287,2016-07-04 03:29:44,6,0 days 03:29:44.000000000
8936,30.255881,-97.762888,2016-07-04 03:29:52,6,0 days 03:29:52.000000000
8937,30.285735,-97.744132,2016-07-04 03:30:06,6,0 days 03:30:06.000000000
8938,30.341315,-97.738287,2016-07-04 03:30:13,6,0 days 03:30:13.000000000
8939,30.341315,-97.738287,2016-07-04 03:30:28,6,0 days 03:30:28.000000000
8940,30.323353,-97.704928,2016-07-04 03:30:31,6,0 days 03:30:31.000000000
8941,30.285594,-97.743916,2016-07-04 03:30:48,6,0 days 03:30:48.000000000
8942,30.341315,-97.738287,2016-07-04 03:31:07,7,0 days 03:31:07.000000000
8943,30.341315,-97.738287,2016-07-04 03:31:53,7,0 days 03:31:53.000000000
8944,30.341315,-97.738287,2016-07-04 03:32:15,7,0 days 03:32:15.000000000
8945,30.309646,-97.71418,2016-07-04 03:32:41,7,0 days 03:32:41.000000000
8946,30.264793,-97.762914,2016-07-04 03:35:37,7,0 days 03:35:37.000000000
8947,30.341315,-97.738287,2016-07-04 03:36:09,7,0 days 03:36:09.000000000
8948,30.341315,-97.738287,2016-07-04 03:36:28,7,0 days 03:36:28.000000000
8949,30.341315,-97.738287,2016-07-04 03:36:37,7,0 days 03:36:37.000000000
8950,30.341315,-97.738287,2016-07-04 03:36:45,7,0 days 03:36:45.000000000
8951,30.29113,-97.746517,2016-07-04 03:37:22,7,0 days 03:37:22.000000000
8952,30.29113,-97.746517,2016-07-04 03:37:50,7,0 days 03:37:50.000000000
8953,30.256312,-97.78236,2016-07-04 03:38:06,7,0 days 03:38:06.000000000
8954,30.2566,-97.782678,2016-07-04 03:38:17,7,0 days 03:38:17.000000000
8955,30.341315,-97.738287,2016-07-04 03:39:00,7,0 days 03:39:00.000000000
8956,30.341315,-97.738287,2016-07-04 03:39:23,7,0 days 03:39:23.000000000
8957,30.283326,-97.769537,2016-07-04 03:39:50,7,0 days 03:39:50.000000000
8958,30.300392,-97.708048,2016-07-04 03:39:59,7,0 days 03:39:59.000000000
8959,30.284728,-97.745172,2016-07-04 03:40:05,7,0 days 03:40:05.000000000
8960,30.334886,-97.751717,2016-07-04 03:41:35,7,0 days 03:41:35.000000000
8961,30.334886,-97.751717,2016-07-04 03:41:56,7,0 days 03:41:56.000000000
